Time [s],Speed [m/s]
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,1.34112
22,2.6375360000000003
23,3.844544
24,5.140960000000001
25,6.392672
26,7.554976
27,7.733792
28,8.091424
29,9.253728
30,9.700768
31,10.013696
32,10.0584
33,9.879584
34,9.61136
35,9.343136
36,9.119616
37,8.851392
38,7.599679999999999
39,6.660895999999999
40,6.660895999999999
41,6.795007999999999
42,6.92912
43,7.15264
44,7.644384
45,8.538464000000001
46,9.432544000000002
47,10.147808000000001
48,10.237215999999998
49,10.147808000000001
50,10.103104
51,9.521952
52,8.49376
53,7.644384
54,7.063232
55,7.063232
56,7.912608
57,8.851392
58,9.656064
59,10.371328
60,10.818368
61,10.997184
62,11.131296
63,11.176
64,10.997184
65,10.95248
66,11.041888
67,11.086592
68,11.041888
69,10.997184
70,10.997184
71,11.220704
72,11.444224
73,11.488928000000001
74,11.354816
75,11.131296
76,11.176
77,11.354816
78,11.623040000000001
79,11.623040000000001
80,11.488928000000001
81,11.667744
82,11.935967999999999
83,12.2936
84,12.785344
85,13.098272
86,13.321791999999999
87,13.455904
88,13.590016
89,13.724127999999999
90,13.724127999999999
91,13.63472
92,13.590016
93,13.545312000000001
94,13.590016
95,13.768832
96,13.590016
97,13.366496
98,13.18768
99,13.321791999999999
100,13.545312000000001
101,13.724127999999999
102,13.813536
103,13.85824
104,13.813536
105,13.590016
106,13.321791999999999
107,13.366496
108,13.500608
109,13.724127999999999
110,13.947648
111,14.215872
112,14.394688
113,14.484096
114,14.394688
115,14.171167999999998
116,12.785344
117,11.310112
118,9.83488
119,8.359648
120,6.884416
121,5.409184
122,3.933952
123,2.45872
124,0.983488
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,1.475232
165,2.9504639999999998
166,4.425696
167,5.9009279999999995
168,7.37616
169,8.851392
170,9.924288000000002
171,10.863072
172,11.533632
173,11.801855999999999
174,11.488928000000001
175,11.220704
176,11.041888
177,11.176
178,11.265408000000003
179,11.354816
180,11.533632
181,12.159488
182,11.84656
183,10.72896
184,10.147808000000001
185,8.672576
186,7.912608
187,7.689088
188,8.091424
189,8.314944
190,8.940800000000001
191,9.924288000000002
192,10.95248
193,12.204192
194,13.63472
195,14.97584
196,16.182848
197,16.674591999999997
198,17.568672
199,18.10512
200,18.820384
201,19.44624
202,20.161504
203,20.563840000000003
204,20.921472
205,21.2344
206,21.2344
207,21.144992
208,21.100288000000003
209,21.01088
210,21.01088
211,21.01088
212,21.01088
213,21.01088
214,21.100288000000003
215,21.189696
216,21.413216000000002
217,21.68144
218,21.949664
219,22.12848
220,22.352
221,22.620224
222,22.79904
223,23.02256
224,23.335488
225,23.782528
226,24.184864
227,24.408384
228,24.542496
229,24.5872
230,24.542496
231,24.408384
232,24.408384
233,24.497792
234,24.631904
235,24.810719999999996
236,24.900128
237,25.078943999999996
238,25.168352
239,25.302464
240,25.347168
241,25.347168
242,25.25776
243,25.25776
244,25.25776
245,25.25776
246,25.25776
247,25.25776
248,25.213055999999998
249,25.078943999999996
250,24.944831999999998
251,24.631904
252,24.408384
253,24.229568
254,24.14016
255,24.006048
256,23.961344
257,24.095456
258,24.14016
259,24.184864
260,24.184864
261,24.050752
262,23.871936
263,23.69312
264,23.514304
265,23.290784
266,23.424896
267,23.246080000000003
268,23.201376
269,23.111968
270,23.02256
271,23.067264
272,23.156672
273,23.290784
274,23.4696
275,23.69312
276,23.91664
277,24.14016
278,24.542496
279,24.766016
280,24.855424
281,25.03424
282,25.03424
283,24.944831999999998
284,24.676608
285,24.36368
286,23.961344
287,23.4696
288,23.02256
289,23.02256
290,23.02256
291,22.843744
292,22.396704000000003
293,22.352
294,22.396704000000003
295,22.352
296,22.173184
297,22.12848
298,22.12848
299,22.12848
300,21.949664
301,21.726144
302,21.502624
303,21.100288000000003
304,20.608544
305,20.1168
306,19.580352
307,19.043904
308,18.55216
309,18.015712000000004
310,17.21104
311,16.54048
312,15.735808
313,15.109951999999998
314,14.5288
315,14.08176
316,13.679424000000001
317,13.63472
318,13.411200000000001
319,12.96416
320,12.2936
321,11.086592
322,9.61136
323,8.985504
324,8.538464000000001
325,8.27024
326,7.599679999999999
327,6.92912
328,5.588
329,4.828032
330,3.57632
331,2.101088
332,0.625856
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.44704
348,1.922272
349,3.3975039999999996
350,4.872736
351,6.347968
352,7.733792
353,8.940800000000001
354,10.0584
355,10.594848
356,11.265408000000003
357,11.891264
358,12.561824
359,13.411200000000001
360,13.768832
361,14.126464
362,14.349984
363,14.662911999999999
364,15.020544000000001
365,15.42288
366,15.467584
367,15.601696
368,15.556992
369,15.42288
370,15.512287999999998
371,15.86992
372,16.093439999999998
373,16.093439999999998
374,16.093439999999998
375,16.093439999999998
376,16.093439999999998
377,16.093439999999998
378,16.138144
379,16.272256
380,16.316959999999998
381,16.272256
382,16.093439999999998
383,15.691104
384,15.244064
385,14.97584
386,14.037056
387,12.96416
388,11.488928000000001
389,10.281920000000001
390,9.074912
391,7.823199999999999
392,6.48208
393,5.36448
394,3.889248
395,2.414016
396,0.9387840000000001
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,1.162304
404,2.6375360000000003
405,4.112768
406,5.588
407,7.063232
408,8.538464000000001
409,10.013696
410,11.176
411,11.444224
412,12.2936
413,12.96416
414,13.411200000000001
415,13.455904
416,13.411200000000001
417,13.277088
418,13.098272
419,12.874752
420,12.51712
421,11.176
422,9.700768
423,8.225536
424,6.750304
425,5.275072000000001
426,3.7998399999999997
427,2.324608
428,0.8493759999999999
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,1.475232
449,2.9504639999999998
450,4.425696
451,5.9009279999999995
452,7.37616
453,8.851392
454,10.326624
455,11.801855999999999
456,12.427712
457,13.008864
458,14.08176
459,14.75232
460,15.020544000000001
461,15.556992
462,15.691104
463,15.914624
464,16.138144
465,16.093439999999998
