time,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Grand Est,Hauts-de-France,Île-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur
2014-01-01,0.272,0.265,0.344,0.369,0.354,0.42,0.397,0.446,0.345,0.29,0.354,0.243
2014-02-01,0.322,0.389,0.41600000000000004,0.518,0.445,0.493,0.523,0.524,0.467,0.335,0.488,0.271
2014-03-01,0.256,0.172,0.18899999999999997,0.19399999999999998,0.17600000000000002,0.205,0.20800000000000002,0.213,0.188,0.33399999999999996,0.2,0.253
2014-04-01,0.217,0.129,0.183,0.159,0.139,0.15,0.152,0.149,0.19,0.294,0.198,0.29600000000000004
2014-05-01,0.326,0.203,0.177,0.237,0.231,0.221,0.253,0.223,0.225,0.35600000000000004,0.228,0.34700000000000003
2014-06-01,0.207,0.163,0.134,0.16899999999999998,0.16,0.11599999999999999,0.17300000000000001,0.114,0.17,0.214,0.157,0.168
2014-07-01,0.195,0.129,0.111,0.134,0.127,0.127,0.14400000000000002,0.126,0.11900000000000001,0.29600000000000004,0.136,0.271
2014-08-01,0.14,0.131,0.125,0.142,0.142,0.17800000000000002,0.152,0.171,0.114,0.168,0.134,0.17
2014-09-01,0.182,0.126,0.08199999999999999,0.12,0.106,0.08800000000000001,0.11599999999999999,0.084,0.152,0.156,0.122,0.22899999999999998
2014-10-01,0.191,0.133,0.193,0.17800000000000002,0.161,0.223,0.19,0.25,0.183,0.192,0.17,0.228
2014-11-01,0.254,0.18,0.213,0.22399999999999998,0.20600000000000002,0.218,0.201,0.261,0.276,0.278,0.247,0.218
2014-12-01,0.268,0.256,0.24600000000000002,0.303,0.298,0.342,0.31,0.35100000000000003,0.212,0.39,0.245,0.444
2015-01-01,0.243,0.32799999999999996,0.299,0.35700000000000004,0.32799999999999996,0.35,0.359,0.381,0.272,0.332,0.305,0.34700000000000003
2015-02-01,0.252,0.29600000000000004,0.289,0.342,0.282,0.282,0.33899999999999997,0.302,0.299,0.349,0.33899999999999997,0.369
2015-03-01,0.258,0.23399999999999999,0.263,0.282,0.264,0.29100000000000004,0.27699999999999997,0.289,0.239,0.364,0.27899999999999997,0.284
2015-04-01,0.23600000000000002,0.226,0.17300000000000001,0.243,0.19899999999999998,0.204,0.222,0.18600000000000003,0.185,0.262,0.209,0.254
2015-05-01,0.297,0.212,0.18100000000000002,0.218,0.193,0.217,0.205,0.20800000000000002,0.177,0.33799999999999997,0.2,0.318
2015-06-01,0.158,0.147,0.161,0.185,0.17600000000000002,0.20199999999999999,0.16699999999999998,0.184,0.121,0.195,0.166,0.19399999999999998
2015-07-01,0.196,0.17600000000000002,0.14400000000000002,0.185,0.183,0.212,0.11599999999999999,0.17800000000000002,0.136,0.26,0.165,0.18600000000000003
2015-08-01,0.191,0.15,0.134,0.155,0.158,0.142,0.146,0.13,0.11699999999999999,0.213,0.127,0.141
